Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.00882531,42078
2,0.066,0.0148357,38317
3,0.099,0.0195825,34556
4,0.132,0.0235949,31314
5,0.165,0.0269588,28472
6,0.198,0.0298034,25915
7,0.231,0.032331,23603
8,0.264,0.0344121,21459
9,0.297,0.036175,19477
10,0.33,0.0377701,17639
11,0.363,0.0389645,15913
12,0.396,0.0401095,14304
13,0.429,0.0411698,12802
14,0.462,0.0423695,11401
15,0.495,0.043226,10063
16,0.528,0.0440606,8795
17,0.561,0.0446398,7586
18,0.594,0.0444593,6458
19,0.627,0.0448661,5390
20,0.66,0.0455393,4374
21,0.693,0.0461184,3409
22,0.726,0.0458296,2499
23,0.759,0.0459149,1630
24,0.792,0.0460335,799
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
